Frankie Pytlak,0.308772835
Don Hurst,0.308763842
Nick Etten,0.308744451
Willard Hershberger,0.308540237
Buddy Lewis,0.308535972
Roy Thomas,0.308534564
Muddy Ruel,0.308212644
Bud Connolly,0.308195543
Heinie Groh,0.308045431
Albie Pearson,0.308039077
Jack O'Brien,0.307972493
Mike Hargrove,0.307644355
Buddy Ryan,0.307298284
Eddie Moore,0.307245756
Harry Hooper,0.307063686
Jim O'Rourke,0.3070275
Herman Pitz,0.307017544
Tuck Turner,0.307003736
Cecil Travis,0.306846151
Sam Crawford,0.306712449
Lefty Marr,0.306523705
Gus Niarhos,0.30639879
Ed Morgan,0.305938438
Maurice Archdeacon,0.305844907
Irish Meusel,0.305682977
Hank Steinbacher,0.305317324
Fred Lewis,0.305315923
Gene Robertson,0.30504725
Wes Fisler,0.305043695
Bill Joyce,0.304943336
Bill Lewis,0.304882212
Johnny Evers,0.304679073
Pid Purdy,0.304561591
Gene Woodling,0.304554134
Harvey Kuenn,0.304553919
Jack Fournier,0.304402731
Eddie Murphy,0.304100262
Sid Gordon,0.304013523
Roy Cullenbine,0.303943171
Jim Gilliam,0.30391921
George Brett,0.303611989
Carey Selph,0.303561854
Bid McPhee,0.303512534
Ginger Beaumont,0.303438334
Fred Haney,0.303433039
Eddie Kenna,0.303415511
Joe Munson,0.303371349
Luis Arraez,0.303250191
Frank Brower,0.303153247
Carson Bigbee,0.303083811
Fred Tenney,0.302905108
George Miller,0.302828988
Evar Swanson,0.302802876
Mike Greenwell,0.302730886
Clyde Barnhart,0.302664468
Stan Spence,0.302592943
Lave Cross,0.30249928
Frank Chance,0.302495084
Buck Jordan,0.302448752
Bill Madlock,0.30243193
Bob Wood,0.3023542
Spud Johnson,0.302328793
Billy Sullivan,0.302254436
Olaf Henriksen,0.302115271
Pete Rose,0.302108296
Mike Donlin,0.301925838
Jack Glasscock,0.301851574
Dave McKeough,0.301565772
Willie Hogan,0.301446051
Larry Gardner,0.301097059
Ted Kluszewski,0.300998534
Henry Reitz,0.300913621
Freddie Lindstrom,0.300852959
Johnny Hodapp,0.300821578
Debs Garms,0.300704757
Clyde Milan,0.300562408
Dick Porter,0.300459835
Willie Kamm,0.300369078
Hank Severeid,0.30024276
Jack Doyle,0.300166361
Jimmie Savage,0.300018073
George Pinkney,0.300000845
Fleet Walker,0.3
Bill Lamar,0.299958497
Wally Moses,0.2997425
Doc Cramer,0.299671457
Bill Hassamaer,0.299658718
Bubbles Hargrave,0.299587123
Johnny Temple,0.299526986
Sparky Adams,0.299471099
Zack Wheat,0.299422896
Steve Matthias,0.299319728
Fielder Jones,0.299299267
Joe Start,0.29921155
Verne Clemons,0.298701527
Parson Nicholson,0.298610587
Buddy Hassett,0.298471987
Morrie Rath,0.298263616
Dick Higham,0.298243751
